21
# x y z
-10	0	0
-9	0	0
-8	0	0
-7	0	0
-6	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
171
# a b m n rhoa k ma
1	2	3	4	1.04938777224873e+02	-1.88495559215388e+01	3.11928009542273e-04
2	3	4	5	1.04991915717282e+02	-1.88495559215388e+01	4.66363992126517e-04
3	4	5	6	1.05079656199184e+02	-1.88495559215388e+01	7.22022765816899e-04
4	5	6	7	1.05266354964874e+02	-1.88495559215388e+01	1.13967195526565e-03
5	6	7	8	1.05480915727211e+02	-1.88495559215388e+01	1.79019147730730e-03
6	7	8	9	1.05815739644893e+02	-1.88495559215388e+01	2.63866426328363e-03
7	8	9	10	1.05940702895186e+02	-1.88495559215388e+01	3.10303624443597e-03
8	9	10	11	1.05238195034119e+02	-1.88495559215388e+01	1.58636570703985e-03
9	10	11	12	1.04089544101386e+02	-1.88495559215388e+01	1.66488979502388e-03
10	11	12	13	1.04111872948795e+02	-1.88495559215388e+01	1.68331873787297e-03
11	12	13	14	1.05245134734386e+02	-1.88495559215388e+01	1.57731140314898e-03
12	13	14	15	1.05913137732213e+02	-1.88495559215388e+01	3.10919197622828e-03
13	14	15	16	1.05744051519490e+02	-1.88495559215388e+01	2.64296128757269e-03
14	15	16	17	1.05457672107465e+02	-1.88495559215388e+01	1.79189221453990e-03
15	16	17	18	1.05332143270119e+02	-1.88495559215388e+01	1.13952821970953e-03
16	17	18	19	1.05050987124408e+02	-1.88495559215388e+01	7.22391719415238e-04
17	18	19	20	1.04996333660624e+02	-1.88495559215388e+01	4.66218358357251e-04
18	19	20	21	1.04866615719624e+02	-1.88495559215388e+01	3.11720162125662e-04
1	2	4	5	1.28829224000306e+02	-7.53982236861549e+01	1.19529273431640e-03
2	3	5	6	1.28877237935284e+02	-7.53982236861549e+01	1.82035773052802e-03
3	4	6	7	1.29566998970627e+02	-7.53982236861549e+01	2.79981954766284e-03
4	5	7	8	1.30072422044851e+02	-7.53982236861549e+01	4.23228218593930e-03
5	6	8	9	1.30789622557087e+02	-7.53982236861549e+01	5.78765288163230e-03
6	7	9	10	1.30569123120692e+02	-7.53982236861549e+01	5.64804999621926e-03
7	8	10	11	1.27648547529827e+02	-7.53982236861549e+01	2.94609231699661e-04
8	9	11	12	1.22552660546044e+02	-7.53982236861549e+01	1.23137568939385e-02
9	10	12	13	1.19932585733227e+02	-7.53982236861549e+01	1.93027098587208e-02
10	11	13	14	1.22532131147104e+02	-7.53982236861549e+01	1.23708568351690e-02
